removed outliers,Agent curated pr (45),,,,,,Pure human (45),,,,,,Statistical analysis,,
Metric,min,Q1,Median,Mean,Q3,Max,min,Q1,Median,Mean,Q3,Max,P-value,Effect size (delta),Effect label
time_to_close_hours,0.01527778,0.550694444,2.223055556,7.973041311,16.39347222,225.8038889,0.00583333,3.613888889,15.27083333,30.8839039,68.52666667,1119.709167,0.00172682,0.395348837,Medium
time_to_close_days,0.00063657,0.0229456,0.09262731,0.332210055,0.683061343,9.40849537,0.00024306,0.150578704,0.636284722,1.286829329,2.855277778,46.65454861,0.00172682,0.395348837,Medium
body_length,320,1138,2038,2155.75,2865,7836,76,450,969,1486.976744,2493,77965,0.00992935,-0.3160494,Small
commits,1,2,4.5,4.977272727,7,16,1,2,4,4.951219512,9,333,0.861368155,0.021728395,Negligible
changed_files,1,2,5,6.627906977,11,183,1,2,5,7.75,13,255,0.406208931,0.101728395,Negligible
additions,0,27,46,77.63414634,163,1077,0,22,87,198.15,467,55262,0.114593243,0.193580247,Small
deletions,0,18,38,56.12820513,118,2280,0,22,61,111.6486486,257,22544,0.147432474,0.177777778,Small
code_churn,4,49,90.5,136.35,247,3161,1,56,202,311.2105263,657,77806,0.03660614,0.256296296,Small
review_iterations,0,0,2,2.844444444,5,11,0,1,1,1.666666667,3,21,0.840681325,0.024691358,Negligible
total_comments,0,2,4,4.475,7,30,0,1,2.5,4.404761905,8,33,0.243269307,-0.142716,Negligible
reviewer_workload_hours,0.01361111,0.230654762,1.26260101,4.483361063,12.83247024,397.1738889,0.015,1.662569444,5.566666667,22.20300844,65.14427083,754.7973148,0.030069939,0.310035842,Small
